text,label
"Breaking news! Government announces free education for all.","real"
"Actor dies in car crash, but actually alive the next day...","fake"
"Scientists confirm water is found on Mars.","real"
"Facebook will shut down forever next week!!!","fake"
"India successfully launches a new satellite.","real"
"New study shows chocolate improves brain power.","real"
"Local man claims he traveled to the moon last week.","fake"
"Electric cars now make up 50% of new car sales.","real"
"Aliens secretly living in major cities, says anonymous source.","fake"
"Major earthquake hits Japan, thousands displaced.","real"
"Celebrity caught in alien abduction hoax.","fake"
"New AI system can diagnose diseases faster than doctors.","real"
"Government will ban all smartphones next year, rumor spreads.","fake"
"Scientists develop vaccine for rare tropical disease.","real"
"World to end according to leaked secret document.","fake"
"Local school introduces new STEM curriculum for students.","real"
"Man claims he can control weather with meditation.","fake"
"NASA confirms discovery of new exoplanet in habitable zone.","real"
"Shocking! Eating chocolate can make you live forever.","fake"
"City council approves new park and community center.","real"
"Politician secretly replaced by robot, citizens unaware.","fake"
"Doctors report breakthrough in cancer treatment.","real"
"New smartphone app can read your mind, claims developer.","fake"
"International space station celebrates 25 years of operation.","real"
"Aliens to invade Earth next month, warns internet source.","fake"
"Local farmer wins award for sustainable agriculture methods.","real"
"Scientists prove that telepathy is real, says new research.","fake"
"New library opens in city with over 1 million books.","real"
"Man claims time travel is possible using kitchen blender.","fake"
"Stock market hits record high after economic reforms.","real"
"Shocking! Drinking water causes instant weight loss.","fake"
"University launches program for renewable energy studies.","real"
"Secret portal to another dimension discovered in forest.","fake"
"City hospital receives grant to expand emergency services.","real"
"Study claims people can live without sleep for a month.","fake"
"Government launches nationwide clean energy initiative.","real"
"Man claims he communicates with animals telepathically.","fake"
"New bridge completed connecting two major cities.","real"
"Scientists find cure for common cold, to be released soon.","fake"
"Local theater hosts international film festival.","real"
"Man claims chocolate makes him invisible, sells guide online.","fake"
"New public transportation system reduces commute time by 50%.","real"
"Aliens teach humans how to fly, leaked video shows.","fake"
"City implements AI-based traffic management system.","real"
"Shocking news! Moon made of cheese, scientists confirm.","fake"
"National park sees record number of visitors this year.","real"
"Man claims he built flying car in backyard.","fake"
"New museum exhibits ancient artifacts discovered in desert.","real"
"Study shows eating pizza daily boosts intelligence.","fake"


